,stop_id,alightings,boardings,location
0,1,150.0,183.4,"{'type': 'Point', 'coordinates': [-87.77410482, 41.87632184]}"
1,2,0.2,5.3,"{'type': 'Point', 'coordinates': [-87.77131794, 41.87706679]}"
2,3,0.7,8.3,"{'type': 'Point', 'coordinates': [-87.76975039, 41.87695725]}"
3,4,3.0,17.9,"{'type': 'Point', 'coordinates': [-87.76745055, 41.87702418]}"
4,6,11.2,74.0,"{'type': 'Point', 'coordinates': [-87.761446, 41.876513]}"
5,7,2.5,14.3,"{'type': 'Point', 'coordinates': [-87.75892544, 41.87655197]}"
6,8,14.1,62.4,"{'type': 'Point', 'coordinates': [-87.757313, 41.876564]}"
7,9,0.0,0.1,"{'type': 'Point', 'coordinates': [-87.75461526, 41.87659463]}"
8,12,0.0,0.0,"{'type': 'Point', 'coordinates': [-87.74912362, 41.87662062]}"
9,13,0.0,0.0,"{'type': 'Point', 'coordinates': [-87.74701737, 41.87668892]}"
10,14,145.2,530.5,"{'type': 'Point', 'coordinates': [-87.74483066, 41.87676314]}"
11,15,13.1,51.6,"{'type': 'Point', 'coordinates': [-87.74254901, 41.87682975]}"
12,16,8.1,16.2,"{'type': 'Point', 'coordinates': [-87.74058525, 41.87683358]}"
13,17,5.2,17.9,"{'type': 'Point', 'coordinates': [-87.73934698, 41.87685748]}"
14,18,29.6,56.4,"{'type': 'Point', 'coordinates': [-87.73761421, 41.87688572]}"
15,19,28.2,95.1,"{'type': 'Point', 'coordinates': [-87.73515882, 41.87691497]}"
16,20,31.0,56.3,"{'type': 'Point', 'coordinates': [-87.73265, 41.876933]}"
17,21,21.5,49.4,"{'type': 'Point', 'coordinates': [-87.7302, 41.876963]}"
18,22,36.1,25.1,"{'type': 'Point', 'coordinates': [-87.72780787, 41.8770066]}"
19,23,122.0,239.9,"{'type': 'Point', 'coordinates': [-87.72532923, 41.87704003]}"
20,24,16.6,32.1,"{'type': 'Point', 'coordinates': [-87.72295441, 41.87706855]}"
21,25,54.6,60.3,"{'type': 'Point', 'coordinates': [-87.72082664, 41.87708065]}"
22,26,41.3,40.1,"{'type': 'Point', 'coordinates': [-87.7154772, 41.87714182]}"
23,27,17.4,13.1,"{'type': 'Point', 'coordinates': [-87.713241, 41.877181]}"
24,29,35.3,9.8,"{'type': 'Point', 'coordinates': [-87.70827664, 41.87723116]}"
25,30,148.7,161.5,"{'type': 'Point', 'coordinates': [-87.70577393, 41.87725804]}"
26,31,28.0,20.1,"{'type': 'Point', 'coordinates': [-87.703323, 41.877288]}"
27,32,34.6,54.8,"{'type': 'Point', 'coordinates': [-87.700867, 41.877318]}"
28,33,80.9,56.7,"{'type': 'Point', 'coordinates': [-87.69841, 41.877348]}"
29,34,81.8,105.4,"{'type': 'Point', 'coordinates': [-87.69595515, 41.87737082]}"
30,35,16.8,30.8,"{'type': 'Point', 'coordinates': [-87.69355299, 41.87739943]}"
31,36,8.3,8.4,"{'type': 'Point', 'coordinates': [-87.69165753, 41.8774236]}"
32,38,97.1,81.3,"{'type': 'Point', 'coordinates': [-87.686093, 41.877478]}"
33,39,148.6,26.6,"{'type': 'Point', 'coordinates': [-87.683652, 41.877496]}"
34,40,20.4,36.1,"{'type': 'Point', 'coordinates': [-87.68127094, 41.87754396]}"
35,41,85.3,32.0,"{'type': 'Point', 'coordinates': [-87.67873587, 41.87739502]}"
36,42,92.9,60.7,"{'type': 'Point', 'coordinates': [-87.67667235, 41.877421]}"
37,44,38.6,50.7,"{'type': 'Point', 'coordinates': [-87.67664239, 41.87513747]}"
38,48,1.5,1.0,"{'type': 'Point', 'coordinates': [-87.671334, 41.874059]}"
39,49,4.3,1.6,"{'type': 'Point', 'coordinates': [-87.669231, 41.87409]}"
40,50,27.0,14.8,"{'type': 'Point', 'coordinates': [-87.66643194, 41.87508698]}"
41,51,260.7,100.9,"{'type': 'Point', 'coordinates': [-87.66651521, 41.87655158]}"
42,52,229.0,82.8,"{'type': 'Point', 'coordinates': [-87.67402389, 41.87743988]}"
43,53,26.8,23.6,"{'type': 'Point', 'coordinates': [-87.67103731, 41.87748733]}"
44,54,35.0,34.7,"{'type': 'Point', 'coordinates': [-87.66899047, 41.8775244]}"
45,55,88.8,61.9,"{'type': 'Point', 'coordinates': [-87.66689065, 41.87755467]}"
46,56,27.1,66.6,"{'type': 'Point', 'coordinates': [-87.664068, 41.87759]}"
47,57,15.6,9.9,"{'type': 'Point', 'coordinates': [-87.661652, 41.877634]}"
48,59,41.9,96.0,"{'type': 'Point', 'coordinates': [-87.65677916, 41.87772931]}"
49,60,6.5,24.9,"{'type': 'Point', 'coordinates': [-87.654338, 41.877751]}"
50,61,15.3,36.9,"{'type': 'Point', 'coordinates': [-87.65169869, 41.87780698]}"
51,63,83.0,69.7,"{'type': 'Point', 'coordinates': [-87.64946073, 41.87784819]}"
52,64,45.8,42.0,"{'type': 'Point', 'coordinates': [-87.64696658, 41.8778898]}"
53,65,103.6,66.7,"{'type': 'Point', 'coordinates': [-87.64375065, 41.87792686]}"
54,67,5.1,443.1,"{'type': 'Point', 'coordinates': [-87.639776, 41.877997]}"
55,69,185.4,118.4,"{'type': 'Point', 'coordinates': [-87.632868, 41.878081]}"
