dropoff_community_area,name,total
8,Near North Side,29242787
32,Loop,19192786
28,Near West Side,7684181
6,Lake View,6466521
76,O'Hare Airport,5223492
7,Lincoln Park,5194354
24,West Town,3414749
33,Near South Side,2015385
3,Uptown,1545830
56,Garfield Ridge,1480058
22,Logan Square,1136880
77,Edgewater,1000794
5,North Center,627140
4,Lincoln Square,456702
16,Irving Park,361753
1,Rogers Park,352562
41,Hyde Park,344843
2,West Ridge,338942
21,Avondale,271543
14,Albany Park,204555
35,Douglas,118413
11,Jefferson Park,118344
39,Kenwood,102312
34,Armour Square,101473
31,Lower West Side,90237
59,Mckinley Park,74688
15,Portage Park,72558
13,North Park,54082
10,Norwood Park,47125
25,Austin,46609
23,Humboldt Park,40110
60,Bridgeport,37808
42,Woodlawn,32161
43,South Shore,30798
38,Grand Boulevard,27982
19,Belmont Cragin,27721
12,Forest Glen,20922
44,Chatham,19379
17,Dunning,16478
30,South Lawndale,15665
49,Roseland,14590
27,East Garfield Park,14085
20,Hermosa,14002
58,Brighton Park,13863
69,Greater Grand Crossing,13223
29,North Lawndale,13205
61,New City,12404
36,Oakland,11875
40,Washington Park,9228
64,Clearing,8861
68,Englewood,8459
57,Archer Heights,6720
46,South Chicago,6422
71,Auburn Gresham,6332
62,West Elsdon,6133
66,Chicago Lawn,5816
26,West Garfield Park,5746
48,Calumet Heights,5336
18,Montclare,5258
67,West Englewood,5170
70,Ashburn,4955
37,Fuller Park,4812
65,West Lawn,4563
63,Gage Park,4416
45,Avalon Park,4071
73,Washington Heights,3445
51,South Deering,3243
9,Edison Park,2945
53,West Pullman,2160
75,Morgan Park,2089
72,Beverly,2072
50,Pullman,1433
47,Burnside,880
52,East Side,707
55,Hegewisch,554
74,Mount Greenwood,478
54,Riverdale,409
NA,NA,0
