,Pickup Community Area,Trip Count,Average Fare
0,1.0,449236,12.920100659786787
1,2.0,434378,11.461147756101768
2,3.0,1941686,12.280773626631804
3,4.0,574066,12.489984775269766
4,5.0,775998,11.588112237402585
5,6.0,8077394,11.490827989819087
6,7.0,6504878,10.617177665745482
7,8.0,37840552,10.198438608401316
8,9.0,3648,14.613958333333345
9,10.0,61294,14.79601363918165
10,11.0,156028,13.004196298100352
11,12.0,26144,17.779825581395354
12,13.0,69084,10.977838283828367
13,14.0,260186,14.63662187819484
14,15.0,98686,12.577905275317663
15,16.0,455088,11.888457748831005
16,17.0,19608,16.41313953488373
17,18.0,7296,14.17135416666667
18,19.0,32794,13.901726535341819
19,20.0,16568,13.091582568807329
20,21.0,337516,10.90604593560005
21,22.0,1412802,11.268069878156952
22,23.0,52060,12.333343065693445
23,24.0,4247640,10.251018160672533
24,25.0,57456,12.93783068783068
25,26.0,7410,15.184461538461544
26,27.0,19076,11.929103585657357
27,28.0,9946918,10.1685262128425
28,29.0,17366,16.6451203501094
29,30.0,19836,16.543505747126417
30,31.0,111682,12.873351480095268
31,32.0,25248150,10.386341016668661
32,33.0,2586432,12.567848789374624
33,34.0,128896,12.338747051886756
34,35.0,148124,11.260805541303233
35,36.0,15770,12.944457831325295
36,37.0,6346,12.227724550898193
37,38.0,35264,17.947812500000012
38,39.0,129352,16.23202702702702
39,40.0,10222,12.75408921933086
40,41.0,428108,19.974215338185775
41,42.0,41002,18.301028730305813
42,43.0,36974,16.666978417266172
43,44.0,24662,15.624206471494618
44,45.0,5282,20.135179856115098
45,46.0,9196,17.1753305785124
46,47.0,988,19.70769230769232
47,48.0,7144,13.88510638297873
48,49.0,10032,15.364166666666668
49,50.0,1900,16.297599999999992
50,51.0,3952,18.052500000000006
51,52.0,1102,22.53068965517241
52,53.0,2394,23.418730158730142
53,54.0,646,19.452941176470596
54,55.0,836,26.25227272727273
55,56.0,1914364,29.559527571558796
56,57.0,8778,17.114285714285714
57,58.0,16644,10.960114155251159
58,59.0,96140,6.367928853754911
59,60.0,47652,14.052775119617209
60,61.0,16340,14.20841860465116
61,62.0,7448,21.550714285714292
62,63.0,6156,15.74592592592592
63,64.0,11400,14.357433333333343
64,65.0,4978,15.654351145038166
65,66.0,6992,16.165163043478277
66,67.0,6612,17.918333333333326
67,68.0,11514,15.714224422442262
68,69.0,16454,15.68011547344111
69,70.0,5700,39.76800000000002
70,71.0,8816,19.5072844827586
71,72.0,2546,25.69970149253732
72,73.0,4142,20.259174311926596
73,74.0,760,35.98250000000001
74,75.0,2888,78.34118421052638
75,76.0,6827422,33.725344661575285
76,77.0,1272962,12.441274664915467
